연번,음식이름정보,에너지(칼로리)정보,단백질,칼슘,비타민(A),비타민(B1),비타민(B2),그외 영양소 1,그외 영양소 2,그외 영양소 3
420,미역오이냉국,29.07,0.4,67.71,0.05,0.07,0.61,12.91,40.76,0.33
421,가자미매운탕,141.64,0.64,186.12,0.21,0.3,4.19,14.78,28.69,1.39
422,갈치찌개,157.67,0.59,154.67,0.14,0.16,3.12,7.63,28.7,1.31
423,고등어매운탕,242.89,0.78,206.72,0.15,0.43,6.31,11.98,31.04,1.84
424,고등어찌개,240.64,0.75,177.37,0.15,0.42,6.25,10.18,22.94,1.74
425,굴두부백탕,92.29,36.86,74.21,0.15,0.18,1.62,11.21,32.01,1.22
426,굴두부찌개,117.92,36.91,148.76,0.16,0.2,2.21,8.64,39.45,1.41
427,긴따루찌개,157.32,0.95,1036.62,0.1,0.15,1.92,8.73,38.36,2.21
428,꽁치찌개,249.72,0.95,195.22,0.1,0.32,6.05,9.43,38.36,2.21
429,낙지찌개,133.53,2,267.67,0.11,0.2,2.72,15.13,55.02,3.34
430,대구매운탕,141.16,0.94,250.07,0.18,0.26,2.75,15.32,68.7,2.2
431,대구지리,98.74,0.64,64,0.12,0.17,1.69,8.93,93.92,1.33
432,대구탕,89.95,0.55,175.19,0.12,0.18,1.89,15.06,28.96,1.18
433,도미찌개,132.22,0.76,173.37,0.15,0.23,3.01,8.38,33.55,1.52
434,동태매운탕,106.42,0.51,202.51,0.15,0.17,1.95,11.34,40.4,1.49
435,동태찌개,137.22,0.66,181.8,0.17,0.2,2.19,8.65,35.57,1.51
436,망둥어찌개,117.52,0.65,174.07,0.14,0.14,2.59,8.38,38.75,1.51
437,메기매운탕,170.8,0.7,222.71,0.3,0.17,3.04,5.09,40.37,1.67
438,명란알찌개,110.83,1.23,59.78,0.22,0.26,3.52,3.72,12.29,3.76
439,미꾸라지매운탕,152.74,1.79,311.71,0.16,0.57,3.12,8.99,92.76,2.84
440,민어매운탕,150.36,0.86,203.4,0.15,0.15,3.09,8.99,44.68,1.6
441,병어찌개,179.82,0.87,216.07,0.19,0.17,2.24,7.68,43.58,1.51
442,복매운탕,132.19,0.97,196.01,0.13,0.22,4.25,9.79,47.91,1.19
443,복지리,82.5,0.55,55.6,0.08,0.15,3.31,7.55,92.38,0.42
444,붕어매운탕,152.84,3.29,192.07,0.36,0.22,3.35,7.73,47.56,1.94
445,삼치찌개,189.62,0.75,195.07,0.11,0.28,4.27,7.68,33.78,2.21
446,쏘가리매운탕,156.04,0.86,219.91,0.16,0.26,3.55,11.24,55.31,1.99
447,아구매운탕,115.24,0.88,231.28,0.14,0.18,2.24,13.17,35.78,1.75
448,알탕,139.15,1.51,155.72,0.27,0.33,4.83,12.44,22.37,4.6
449,어묵김치찌개,129.73,0.58,34.11,0.09,0.07,1.22,18.09,41,2.72
450,연어찌개,180.72,0.92,157.07,0.26,0.15,6.49,12.16,20.81,1.34
451,오징어찌개,119.4,1.32,220.66,0.09,0.11,2.83,13.69,35.23,2.64
452,옥도미매운탕,141.02,1.05,154.94,0.09,0.1,2.07,12.12,21.65,2.03
453,우럭매운탕,118.22,2.09,172.76,0.08,0.18,2.74,12.09,43.63,1.92
454,임연수찌개,180.27,0.62,153.97,0.15,0.16,3.61,6.93,26.49,2.11
455,잉어매운탕,133.42,1.07,193.56,0.35,0.19,4.23,12.09,56.83,1.66
456,적어매운탕,121.22,0.81,187.56,0.12,0.18,3.12,14.99,56.66,2.16
457,조기매운탕,172.99,0.68,238.46,0.13,0.28,2.09,17.14,40.37,1.64
458,조기찌개,165.29,0.62,207.47,0.12,0.28,1.95,12.18,45.43,1.59
459,참치김치찌개,67.63,0.32,36.57,0.07,0.09,4.22,14.55,33.87,1.87
460,참치두부찌개,114.81,0.7,151.91,0.1,0.17,7.41,3.89,27.74,1.96
461,참치찌개,82.84,0.37,106.22,0.07,0.13,7.08,2.39,7.21,1.37
462,참치탕,106.8,0.5,50.6,0.1,0.15,7.21,15.11,41.78,1.97
463,청어찌개,233.9,0.8,238.69,0.09,0.27,3.35,7.26,32.75,2.91
464,해물잡탕,101.62,1.93,259.77,0.1,0.19,3.17,8.78,19.45,2.02
465,닭매운탕,181.04,1.59,430.58,0.14,0.17,5.52,10.12,22.13,0.88
466,돈육감자탕,162.21,1.07,143.83,0.29,0.14,3.55,21.32,28.53,0.3
467,돈육김치찌개,112.5,0.93,36.77,0.23,0.1,2.46,11.03,36.59,0.31
468,돼지고기찌개,222.54,1.71,393.86,0.44,0.2,5.29,15.84,40.8,0.54
469,부대고기찌개,353.55,1.86,226.02,0.49,0.46,6.05,12.43,38.36,1.06
470,쇠고기두부찌개,127.9,1.33,42.98,0.08,0.11,2.58,6.57,16.94,0.54
471,쇠고기찌개,137.54,1.41,96.23,0.12,0.14,3.12,17.6,33.1,0.7
472,햄김치찌개,114.52,0.91,60.23,0.23,0.11,3.57,14.68,41.93,0.16
473,햄섞어찌개,273.55,1.27,67.06,0.33,0.2,3.35,17.29,51.74,0.41
474,감자찌개,150.26,1.09,139.52,0.34,0.16,2.59,39.93,35.68,1.08
475,냉이된장찌개,77.09,0.53,175.66,0.12,0.2,1.49,41.49,22.51,1.16
476,달래된장찌개,138.61,1.15,179.21,0.13,0.22,2.8,24.29,218.07,8.92
477,된장찌개,95.25,0.64,24.82,0.08,0.08,1.81,14.48,29.51,0.95
478,두부된장찌개,100.7,0.75,47.31,0.08,0.09,1.21,14.94,32.48,1.15
479,미더덕된장찌개,73.35,0.51,41.46,0.07,0.14,0.92,10.34,38.44,1.75
480,쇠고기청국장찌개,119.05,1.58,39.87,0.09,0.15,1.86,12.63,35.54,0.85
481,왜된장버섯탕,157.88,2.2,40.81,0.17,0.33,5.66,2.27,43.96,0.23
482,우거지찌개,135.12,1.17,56.76,0.07,0.1,2.32,3.34,35.84,1.82
483,우렁된장찌개,96.2,1.2,82.66,0.13,0.2,1.68,12.14,34.13,1.3
484,청국장찌개,116.93,1.41,95.24,0.1,0.15,1.57,15.84,65.82,1.25
485,곱창전골,214.45,1.72,173.07,0.11,0.27,6.98,9.23,55.4,1.02
486,국수전골,174.76,1.22,195.79,0.1,0.2,3.29,8.71,46.04,0.93
487,김치전골,172.24,1.14,431.31,0.27,0.19,2.76,25.54,75.9,1.34
488,불낙전골,247.98,2.51,256.05,0.14,0.3,4.34,12.2,63.46,4.41
489,쇠고기전골(스끼야끼),146.12,1.24,197.01,0.09,0.2,3.35,14.39,53.59,0.94
490,양송이버섯전골,111.51,1.16,169.77,0.11,0.27,3.21,10.23,30.75,0.64
491,징기스칸,214.66,1.95,349.11,0.16,0.43,5.16,14.71,64.85,1.33
492,표고버섯전골,113.63,1.15,199.8,0.11,0.21,3.8,14.5,40.79,0.98
493,양송이버섯찌개,88.74,1.19,207.12,0.13,0.34,3.83,18.68,44.84,0.18
494,섞어찌개,119.85,1.12,62.81,0.12,0.14,2.3,13.59,30.1,0.87
495,순두부찌개,208.08,1.41,145.75,0.22,0.24,2.08,6.43,35.34,2.01
496,연두부찌개,96.88,0.74,213.46,0.09,0.13,1.74,15.14,32.01,1.81
497,콩비지찌개,170.12,1.13,64.92,0.26,0.11,3.05,9.18,39.69,1.14
498,가오리찜,104.21,0.6,211.02,0.1,0.17,4,15.68,36.81,1.8
499,가자미찜,135.91,0.61,156.72,0.18,0.27,4.01,10.08,35.21,1.75
500,갈치찜,147.76,0.55,173.92,0.14,0.16,3.19,10.58,36.93,1.75
501,고등어찜,235.31,0.8,179.12,0.14,0.42,6.25,9.38,35.77,2.45
502,꼬막찜,127.19,1.43,217.85,0.07,0.21,2.6,4.85,23.07,2.34
503,꽃게찜,188.15,2.16,16.6,0.08,0.37,5.81,4.8,23.5,3.16
504,대구찜,108.61,0.65,159.52,0.13,0.19,2.12,10.08,36.5,1.75
505,대합찜,243.08,2.23,198.2,0.09,0.31,10.13,4.05,26.74,0.71
506,도미찜,112.81,0.62,163.72,0.13,0.21,2.96,9.38,32.09,1.75
507,동태찜,113.01,0.48,172.11,0.15,0.19,2.12,9.29,34.06,1.75
508,망둥어찜,98.11,0.51,164.42,0.13,0.13,2.54,9.38,37.48,1.75
509,미더덕찜,87.67,1.06,108.32,0.13,0.22,1.62,10.8,46.65,3.2
510,바지락찜,114.48,1.21,193.2,0.05,0.2,2.39,4.85,22.33,1.51
511,북어찜,156.05,0.44,122.74,0.12,0.12,2.27,1.53,14.06,1.58
512,아구찜,99.08,0.82,185.42,0.13,0.18,2.18,11.83,34.57,2.15
513,알찜,73.62,0.65,36.1,0.42,0.23,0.68,7,9.68,4.01
514,오징어순대,95.83,1.26,98.11,0.1,0.07,2.33,11.15,37.18,2.88
515,오징어찜,81.04,1.12,64.62,0.08,0.11,2.26,6.58,29.53,2.92
516,우럭찜,113.71,2.13,162.31,0.07,0.18,2.82,9.99,42.95,2.45
517,자반고등어찜,182.27,0.57,26.72,0.09,0.3,5.02,5.57,13.94,1.55
518,조기찜,139.03,0.43,161.62,0.1,0.24,1.63,9.33,41.43,1.71
519,참치계란찜,87.49,0.58,84.15,0.07,0.14,4.63,0.44,6.48,1.03
520,홍어찜,108.88,0.6,207.62,0.1,0.17,2.34,18.73,36.82,1.85
521,갈비찜,304,3.86,272.3,0.13,0.28,6.3,9,28.03,0.17
522,닭찜,200.05,1.69,287.63,0.13,0.2,6.05,12.49,37.49,2.21
523,도가니수육,134.51,2.04,13.44,0.06,0.1,2.85,2.1,3.79,0.01
524,돼지갈비고구마찜,333.05,2.7,149.04,0.81,0.22,6.89,25.57,52.49,0.89
525,돼지갈비찜,269.79,2.6,47.56,0.79,0.2,6.84,11.04,17.05,0.52
526,돼지족발찜,308.75,1.35,52.58,0.18,0.17,2.74,1.14,12.36,0.57
527,쇠갈비떡찜,279.16,2.47,132.94,0.09,0.22,4.82,2.58,31.77,0.16
528,쇠갈비찜,284.07,3.65,36.33,0.09,0.22,5.39,4.7,8.99,0.24
529,우설찜,125.76,1.81,32.44,0.06,0.12,1.95,2.25,13.77,0.25
530,편육,88.72,2.85,26.41,0.06,0.13,3.38,1.83,4.35,0.02
531,깻잎찜,26.83,0.2,270.5,0.04,0.08,0.69,8.16,14.71,0.71
532,애호박찜,48.46,0.23,58.52,0.07,0.05,0.62,26.88,11.06,1.77
533,양배추찜,35.41,0.17,41.12,0.03,0.05,0.44,16.08,32.65,0.42
534,호박잎찜,19.03,0.1,52.82,0.01,0.03,0.27,2.07,11.88,0.37
535,계란찜,92.5,0.51,206.1,0.06,0.14,0.22,1.08,3.7,0.82
536,두부찜,82.82,0.61,100.05,0.05,0.08,0.44,1.5,10.03,1.01
537,순대,133.02,1.58,49.1,0.05,0.09,1.06,2.5,12.65,0.05
538,가리비구이,91.66,2.14,36.03,0.05,0.28,1.49,1.57,15.58,1.44
539,가자미구이(fried flounder),116.82,0.34,5.6,0.13,0.18,3.01,1.4,3.69,3.8
540,갈치구이,101.5,0.26,16.8,0.08,0.07,2.17,0.7,4.79,0.72
541,고등어구이,189.7,0.53,28,0.08,0.34,5.25,0.7,4.44,1.42
542,굴비구이,124.6,0.42,35,0.04,0.13,0.77,0.7,38.5,2.8
543,긴따루구이,91,0.52,869.4,0.03,0.05,0.84,0,4.86,1.42
544,꽁치구이,183.4,0.52,28,0.02,0.21,4.97,0.7,4.86,1.42
545,넙치구이,72.1,0.23,5.6,0.07,0.14,4.55,0.7,3.88,0.72
546,도미구이,67.2,0.35,12.6,0.08,0.13,1.96,0.7,0.66,0.72
547,"명태,노가리구이",92.83,0.26,31.12,0.05,0.08,1.98,0,8.47,0.96
548,민어구이,72.8,0.35,18.2,0.07,0.04,1.82,0.7,10.88,0.72
549,뱅어포구이,93.59,0.45,97.98,0.06,0.07,0.98,1.67,19.28,1.5
550,병어고추장구이,173.27,0.5,96.61,0.14,0.1,1.47,0.57,18.34,3.99
551,병어구이,114.8,0.45,55.3,0.12,0.07,1.19,0,10.88,0.72
552,볼락구이,78.4,0.3,7,0.04,0.07,1.19,0.7,6.68,1.42
553,북어양념구이,138.6,0.21,73.72,0.11,0.1,1.98,0.58,12.36,1.61
554,삼치구이,124.6,0.33,34.3,0.04,0.18,3.22,0,1.08,1.42
555,삼치양념구이,170.56,0.54,159.31,0.08,0.24,3.97,4.74,10.77,1.72
556,연어구이,112.7,0.42,39.2,0.2,0.07,5.46,0.7,0.73,0.72
557,오징어양념구이,102.83,1.02,56.67,0.05,0.07,2.29,2.46,15.09,2.46
558,임연수구이,116.2,0.21,16.1,0.08,0.07,2.59,0,1.08,1.42
559,장어구이,223.62,1.46,811.12,0.5,0.38,3.69,1.76,19.24,3.73
560,적어구이,60.9,0.37,0,0.01,0.04,1.82,0,6.68,0.72
561,전어구이,142.8,0.48,4.2,0.01,0.19,2.38,0,1.57,1.42
562,조기구이,96.6,0.18,10.5,0.04,0.16,0.7,0.7,10.88,0.72
563,조기양념구이,109.55,0.21,12.91,0.05,0.17,0.77,1.27,11.83,1.04
564,쥐포구이,59.76,2.66,0,0.01,0.01,0.41,0,8.89,1.62
565,참치구이,79.8,0.35,6.3,0.06,0.1,7.91,1.4,2.62,0.02
566,청어구이,169.4,0.39,80.5,0.02,0.18,2.31,0,0.38,2.12
567,가자미구이(Grilled Flounder),90.3,0.34,5.6,0.13,0.18,3.01,1.4,3.69,0.71
568,갈치구이(Panfried Flounder),128.02,0.26,16.8,0.08,0.07,2.17,0.7,4.6,3.8
569,고등어구이(Panfried~,222.82,0.54,28,0.09,0.34,5.27,0.7,4.76,4.5
570,굴비구이(Panfried~,151.12,0.42,35,0.04,0.13,0.77,0.7,38.5,5.89
571,긴따루구이(Panfried~,117.52,0.52,869.4,0.03,0.05,0.84,0,4.67,4.5
572,꽁치구이(Panfried~,209.92,0.52,28,0.02,0.21,4.97,0.7,4.67,4.5
573,넙치구이(Panfried~,98.62,0.23,5.6,0.07,0.14,4.55,0.7,3.69,3.8
574,도미구이(Panfried~,93.72,0.34,12.6,0.08,0.13,1.96,0.7,0.47,3.8
575,민어구이(Pantried~,99.32,0.34,18.2,0.07,0.04,1.82,0.7,10.69,3.8
576,병어구이(Pantried~,141.32,0.45,55.3,0.12,0.07,1.19,0,10.69,3.8
577,볼락구이(Pantried~,104.92,0.3,7,0.04,0.07,1.19,0.7,6.49,4.5
578,삼치구이(Pantried~,151.12,0.33,34.3,0.04,0.18,3.22,0,0.89,4.5
579,임연수구이(Pantried~,142.72,0.21,16.1,0.08,0.07,2.59,0,0.89,4.5
580,적어구이(Pantried~,87.42,0.37,0,0.01,0.04,1.82,0,6.49,3.8
581,전어구이(Pantried~,169.32,0.48,4.2,0.01,0.19,2.38,0,1.38,4.5
582,조기구이(Pantried~,123.12,0.18,10.5,0.04,0.16,0.7,0.7,10.69,3.8
583,청어구이(Pantried~,195.92,0.39,80.5,0.02,0.18,2.31,0,0.19,5.2
584,갈매기살구이,93.28,1.15,4.2,0.04,0.11,2.52,0,2.32,2.07
585,갈비구이,314.83,3.68,15.21,0.09,0.21,5.36,3.81,10.66,0.97
586,내장구이,109.66,1.51,50.72,0.05,0.09,1.05,3.36,13.89,1.09
587,닭갈비,194.66,1.55,306.08,0.11,0.16,5.11,17.09,32.46,1.28
588,닭불고기,172.73,1.45,133.84,0.09,0.14,4.88,4.43,11.89,1.01
589,돼지고기구이,180.81,1.2,92.94,0.37,0.14,3.93,3.79,13.56,1.25
590,돼지불고기,214.9,1.3,213.29,0.39,0.15,4.08,10.92,17.49,0.8
591,멧돼지구이,155.15,1.53,80.39,0.27,0.11,2.94,7.12,11.19,0.8
592,불고기,169.66,1.25,10.83,0.09,0.16,3.38,5.48,10.34,1
593,삼겹살구이,207.44,0.9,3.6,0.41,0.18,2.64,0.6,0.52,1.04
594,쇠고기산적,215.86,1.4,437.2,0.11,0.23,3.15,8.7,13.18,5.68
595,쇠등심구이,143.24,1.71,7.23,0.05,0.12,3.56,0.87,2.5,1.04
596,오리고기로스,81.93,1.15,13.31,0.22,0.27,3.19,3.6,15.15,0.61
597,칠면조구이,87.93,1.49,0.11,0.04,0.15,4.21,1.2,5.85,0.01
598,통닭,105.33,1.31,33.11,0.06,0.09,4.33,1.2,3.15,0.01
599,햄구이,52.4,0.44,0,0.06,0.08,2.8,17.2,3.6,0
600,감자구이,71.5,0.53,0,0.1,0.04,1.69,27.3,17.39,0.01
601,김구이,13.88,0.1,75,0.02,0.06,0.21,1.86,27.38,1.12
602,더덕구이,81.96,0.17,34.73,0.09,0.13,0.57,3.81,9.88,0.54
603,도라지구이,95.96,0.17,34.73,0.07,0.09,0.52,6.81,9.88,0.54
604,두부양념구이,142.61,0.74,73.22,0.06,0.07,0.96,1.78,15.83,6.39
605,떡고치구이,283.5,0.41,21.85,0.03,0.03,1.97,0.48,5.13,0.7
606,옥수수구이,140,0.9,9,0.25,0.11,2.6,4,11.1,1
607,우엉구이,103.19,0.22,21.86,0.03,0.06,0.51,2.37,18.56,6
608,굴전,187.62,72.85,62.98,0.2,0.26,2.11,2.82,12.52,6.06
609,맛살전,110.62,0.96,26.98,0.09,0.42,1.28,0.42,10.99,6.86
610,새우전,168.72,0.97,18.18,0.03,0.1,2.05,1.22,4.99,6.06
611,어묵전,142.31,0.38,15.62,0.04,0.05,0.22,0,4.19,5.76
612,오징어옥수수전,215.7,0.86,29.1,0.11,0.07,1.57,5,26.67,6.46
613,전유어(동태전),160.21,0.45,37.52,0.11,0.11,0.9,0,6.02,6.06
614,조개파전,193.23,1.04,143.11,0.14,0.11,0.93,13.7,24.94,6.27
615,해물채소전,230,2.05,45.2,0.11,0.19,3.06,19.9,47.49,8.06
616,해물파전,213.35,1.41,115.6,0.13,0.12,1.96,13.9,23.84,7.16
617,홍합쑥갓전,204,1.48,122.8,0.1,0.25,1.88,5.4,48.23,7.36
618,홍합전,186.3,1.44,44.1,0.08,0.21,1.77,4.5,19.4,6.96
619,돼지고기완자전,251.93,1.45,94.97,0.36,0.17,1.99,2.39,13.33,5.67
620,쇠간전,171.21,2.57,5714.42,0.19,1.39,8.9,12,151.23,5.36
621,쇠고기완자전,233.58,1.68,42.05,0.1,0.15,2.77,3.29,13.59,5.81
622,천엽전,123.21,2,45.62,0.06,0.2,0.92,0,10.23,5.36
623,가지전,104.2,0.37,19.8,0.05,0.04,0.4,2.8,14.32,5.27
624,감자전,142.15,0.51,23.4,0.1,0.07,1.1,15.75,13.44,5.31
625,김치빈대떡,216.34,0.95,25.4,0.2,0.1,1.94,8.4,104.82,5.64
626,김치전,152.6,0.58,53.16,0.11,0.1,1.07,13.25,38.62,5.58
627,깻잎전,171.7,1.24,188.9,0.09,0.13,1.41,5.9,16.19,5.76
628,녹두전(빈대떡),194.64,0.83,15.4,0.17,0.08,1.68,4.5,84.17,6.69
629,더덕산적,171.2,1.44,3.64,0.07,0.12,1.85,2.58,4.93,10.65
630,두릅적,135.84,1.25,68.3,0.11,0.21,2.23,12.3,50.42,7.86
631,두부빈대떡,231.15,1.34,154.81,0.25,0.13,2.5,4.49,73.39,5.91
632,버섯전,137.1,0.55,15.6,0.16,0.22,2.49,1.2,17.94,5.26
633,부추전,190.25,1.2,329.9,0.25,0.14,1.83,30.9,39.84,7.31
634,부추파전,151.4,0.57,294.8,0.23,0.08,0.44,21.2,33.74,5.86
635,야채전,151.45,0.44,305.6,0.1,0.08,0.94,21.3,21.86,5.81
636,양파전,120.44,0.46,17.3,0.05,0.05,0.68,4.2,9.91,6.29
637,연근전,110,0.21,15.6,0.08,0.03,0.22,28.5,8.29,5.26
638,파전,205.3,1.04,161.35,0.12,0.13,1.26,14.05,31.27,6.16
639,풋고추표고전,200.23,1.06,58.81,0.14,0.22,2.68,22.57,36.96,6.27
640,호박전,109.88,0.36,109.46,0.08,0.16,0.12,7.92,36.26,6.08
641,화양적,210.96,1.88,436.94,0.14,0.31,3.88,9.77,48.42,5.79
642,"계란,스크램블드에그",122.35,0.49,101.7,0.05,0.15,0.06,0.1,2.75,0.61
643,"계란,스크램블드에그(패스트푸드)",106,0.85,134,0.04,0.26,0.1,1.5,28,1
644,"계란,오믈렛",169.61,0.72,84.65,0.1,0.2,0.69,1.3,6.89,5.71
645,"계란,햄오믈렛",158.96,0.86,179.7,0.16,0.14,1.91,3.68,15.65,5.56
646,계란말이,112.1,0.51,163.02,0.06,0.14,0.15,3.08,5.82,3.6
647,계란채소말이,113.27,0.49,206.9,0.06,0.14,0.19,4.05,5.67,3.65
648,계란햄말이,130.02,0.65,160.4,0.12,0.21,0.97,2.38,32.27,3.7
649,계란후라이,96.68,0.45,78,0.05,0.13,0.05,0,2.35,2.56
650,햄부침,178.01,0.72,31.22,0.12,0.14,2.99,17.2,8.41,5.35
651,두부부침,107.4,0.64,0,0.04,0.03,0.56,0,12.19,5.96
652,두부전,139.7,0.77,15.6,0.06,0.06,0.63,0,13.95,6.06
653,건꼴뚜기볶음,119.57,2.04,19.45,0.04,0.04,1.49,0.4,10.63,9.61
654,건새우볶음,107.01,1.4,11.68,0.04,0.03,1.24,0.09,4.29,3.22
655,건새우케찹볶음,112.86,1.43,15.88,0.05,0.03,1.3,1.04,9,3.32
656,고추멸치볶음,113.11,0.28,273.91,0.07,0.1,1.43,18.54,10.51,4.41
657,낙지볶음,134.98,1.31,243.13,0.07,0.12,1.71,16.45,32.19,7.49
658,마늘쫑어묵볶음,126.34,0.66,18.81,0.12,0.1,0.44,22.45,5.17,3.55
659,멸치야채볶음,120.89,0.37,131.7,0.05,0.04,1.5,7.1,13.43,6.18
660,문어볶음,149.2,2.2,286.56,0.09,0.19,2.42,16.82,42.96,6.27
661,뱅어포볶음,85.63,0.34,22.06,0.03,0.03,0.54,3.69,10.41,3.34
662,북어볶음,120.03,0.14,19.46,0.07,0.06,1.27,0.09,7,3.95
663,어묵볶음,128.44,0.38,256.71,0.05,0.04,0.74,7.19,9.58,3.71
664,어묵양파볶음,132.73,0.27,3.19,0.03,0.02,0.35,3.03,7.27,3.76
665,오징어떡볶음,146.76,0.77,185.37,0.07,0.07,2.16,8.84,27.29,1.51
666,오징어버섯볶음,103.14,0.97,208.96,0.17,0.18,3.37,13.89,36.4,5.12
667,오징어볶음,153.7,0.89,317.68,0.1,0.15,2.4,17.02,41.91,7.2
668,오징어어묵볶음,155.2,0.86,187.63,0.06,0.08,1.96,6.56,23.48,4.17
669,오징어채볶음,128.04,1.05,31.12,0.04,0.05,2.26,0,16.1,4.01
670,오징어해물볶음,126.4,1.15,107.75,0.05,0.14,2.31,4.52,38.94,7.52
671,잔멸치볶음,88.48,0.24,5.21,0.03,0.03,1.21,7.29,7.39,1.92
672,잔멸치소세지볶음,146.89,0.5,67.51,0.08,0.06,1.85,5.89,6.95,4.27
673,쥐포볶음,115.07,2.72,19.45,0.02,0.02,0.59,0,13.29,4.83
674,참치김치볶음,101.31,0.28,21.79,0.06,0.09,4.76,6.87,21.14,5.95
675,참치야채볶음,111.31,0.31,82.77,0.05,0.07,5.12,16.48,23.46,5.74
676,호박홍합볶음,75.76,0.58,186.76,0.07,0.17,0.95,8.59,42.53,4.31
677,곱창볶음,166.93,1.76,82.07,0.13,0.18,3.18,4.03,16.14,5.25
678,김치소세지볶음,127.5,0.58,30.05,0.09,0.06,1.48,11.7,30.17,5.15
679,닭고추장볶음,232.57,1.65,323.43,0.15,0.14,5.48,14.73,22.16,5.66
680,닭떡볶음,260.98,1.56,207.66,0.1,0.13,5.41,3.92,15.23,3.34
681,닭볶음,174.01,1.56,303.05,0.12,0.14,5.29,13.23,14.53,3.24
682,닭살야채볶음,154.6,0.73,268.23,0.1,0.09,6.55,22.42,17.74,5.4
683,돈육두루치기,225.08,1.24,188.89,0.38,0.15,3.98,9.36,26.44,3.47
684,돼지고기고추장볶음,228.4,1.23,47.27,0.38,0.13,3.79,4.2,15.28,3.63
685,돼지고기김치볶음,154.7,0.84,47.2,0.26,0.11,2.78,9.28,26.94,5.25
686,돼지고기볶음,236.49,1.29,83.64,0.39,0.16,4.08,13.42,34.53,3.66
687,돼지고기야채볶음,206.19,1.24,158.03,0.35,0.2,4.28,13.71,50.5,3.38
688,돼지곱창볶음,198.44,1.31,101.09,0.38,0.2,4.88,12.62,38.77,0.68
689,베이컨볶음,161.07,0.88,44.94,0.23,0.08,2.25,22.92,24.17,0.77
690,소간야채볶음,125.86,2.14,5057.96,0.18,1.17,7.99,22.68,144.08,3.39
691,소세지야채볶음,166.32,0.9,206.32,0.12,0.08,2.12,13.36,25.86,3.35
692,쇠고기고추장볶음,139.68,1.72,52.13,0.09,0.15,3.96,4.09,14.2,0.51
693,쇠고기마늘볶음,191.91,1.84,165.2,0.08,0.16,3.78,10.6,13.06,5.63
694,쇠고기버섯볶음,185.17,1.64,140.81,0.13,0.18,4.25,7.33,9.7,5.4
695,쇠고기볶음,166.41,1.8,142.67,0.06,0.13,3.8,6.59,8.92,2.18
696,쇠고기야채볶음,175.73,1.73,205.91,0.1,0.24,4.37,14.89,26.8,1.09
697,쇠고기오이볶음,104.75,1,20.88,0.05,0.09,1.95,7.03,6.95,3.13
698,쇠고기표고볶음,186.45,1.91,10.41,0.07,0.17,4.53,1.99,16.11,3.5
699,철판구이볶음,151.53,1.31,147.46,0.14,0.21,4.09,22.44,28.5,3.27
700,칠면조볶음,143.3,1.74,85.46,0.15,0.25,5.69,5.12,17.13,3.23
701,햄김치볶음,199.44,0.7,29.8,0.18,0.11,1.63,7.52,23.08,5.24
702,햄야채볶음,243.61,1.01,134.56,0.22,0.19,2.89,14.86,38.08,5.54
703,가지볶음,50.35,0.3,6.63,0.03,0.02,0.38,3.46,12.9,2.55
704,감자야채볶음,89.96,0.31,137.41,0.06,0.04,0.89,18.99,13.57,5.42
705,감자어묵볶음,147.57,0.28,2.12,0.03,0.03,0.63,6.66,6.59,5.74
706,감자채볶음,97.75,0.38,130.9,0.08,0.03,1.21,25.15,15.57,5.26
707,감자풋고추볶음,103.43,0.41,16.43,0.08,0.04,1.15,28.38,14.1,5.43
708,감자햄볶음,152.32,0.58,3.22,0.13,0.06,1.48,16.25,11.9,5.22
709,고구마줄기볶음,48.19,0.38,6.75,0.05,0.02,0.32,7.38,64.42,6.11
710,고비볶음,55.9,0.27,42.34,0.03,0.06,0.87,7.34,16.03,3.33
711,고사리볶음,68.26,0.38,24.03,0.05,0.07,0.24,16.5,22.9,5.84
712,고춧잎볶음,83.25,0.85,534.82,0.14,0.23,1.71,57.68,64.12,6.28
713,근대볶음,54.22,0.4,355.62,0.05,0.1,0.4,12.18,11.88,4.81
714,김치볶음,110.32,0.49,32.99,0.15,0.07,1.65,9.83,30.16,5.33
715,깻잎나물볶음,66.05,0.43,1087.13,0.07,0.2,0.86,39.48,64.78,6.23
716,느타리버섯볶음,54.43,0.51,127,0.28,0.23,3.81,3.76,13.49,3.15
717,도라지볶음,88.52,0.19,7.23,0.05,0.07,0.27,7.62,4.54,3.54
718,마늘쫑볶음,68.87,0.74,46.32,0.15,0.13,0.49,30.95,9.29,3.17
719,멸치깻잎볶음,49.93,0.31,313.97,0.04,0.08,1.31,11.07,23.22,1.82
720,무청볶음,80.65,0.31,264.83,0.05,0.08,0.55,54.12,22.69,6.34
721,미역줄기볶음,74.11,0.2,47.23,0.04,0.05,0.88,16.58,106.29,6.04
722,미역줄기잡채,99.54,0.63,213.81,0.16,0.08,1.71,11,49.88,3.64
723,버섯볶음,101.69,1.25,134.14,0.11,0.34,3.89,5.58,21.21,3.15
724,버섯채소볶음,76.08,0.43,192.11,0.25,0.18,2.79,11.09,17.29,5.48
725,부추볶음,83,0.32,326.24,0.22,0.04,0.11,22.12,31.43,6.12
726,야채볶음,92.96,0.28,395.33,0.07,0.04,0.65,25.22,22.33,5.82
727,양파볶음,74.4,0.24,125.72,0.04,0.01,0.25,5.4,11,5.17
