연번,음식이름정보,에너지(칼로리)정보,단백질,칼슘,비타민(A),비타민(B1),비타민(B2),그외 영양소 1,그외 영양소 2,그외 영양소 3
205,"과자,애플잼(롯데)",132.3,0.14,55.5,0.02,0.01,0.09,0,3.6,0.6
206,"과자,엄마손파이(롯데)",157.5,0.2,0,0.02,0.01,0.15,0,4.8,0.3
207,"과자,젝크(롯데)",155.7,0.34,0,0.03,0.01,0.15,0,4.2,0.9
208,"과자,쵸이스(롯데)",144.9,0.16,659.7,0.03,0.02,0.15,0,2.4,0.6
209,"과자,쵸코칩쿠키(롯데)",159.9,0.16,8.7,0.03,0.01,1.23,0,2.4,0.6
210,"과자,커스타드(롯데)",99.75,0.12,157.71,0.01,0.04,0.04,0,2.1,0
211,"과자,프레즐",110.88,0,0,0.09,0.07,1.2,0,0,0
212,"과자,하비스트(롯데)",103.74,0.11,65.31,0.02,0.01,0.15,0,1.68,0.42
213,나쵸(패스트푸드),223,1.47,100,0.09,0.27,1.3,2,3.6,1
214,모나카,102.3,0.16,0,0,0.01,0.06,0,2.4,0
215,비스켓,99.6,0.18,0.3,0.11,0.11,0.9,0,1.8,0.6
216,산자,125.1,0.35,0,0,0,0.09,0,2.04,0
217,센베이,123.6,0.16,0,0.02,0.01,2.55,0,2.4,0
218,"스낵,나쵸",119.84,0,22.68,0.3,0.1,4,5.99,0,0
219,"스낵,밀가루",134.96,0.08,0,0.03,0.01,0.17,0,2.24,1.68
220,"스낵,새우맛",146.44,0.08,0,0,0,0.11,0,2.24,1.68
221,"스낵,콘칩스",152.88,0,11.7,0.05,0.3,0,0,2.24,1.12
222,스낵과자,155.4,0.09,2.4,0.01,0.01,0.12,1.2,2.4,1.8
223,"웨하스,바닐라",153.3,0.24,0.9,0.02,0.02,0.12,0,6.06,0.6
224,"유과,찹쌀유과",109.5,0.25,0,0,0,0.06,0,1.23,0
225,"유과,콩유과",109.5,0.25,0,0,0,0.06,0,1.23,0
226,"전병,셈베이,김",126.9,0.16,2.4,0.03,0.02,0.24,0,2.4,0
227,"전병,찹쌀",133.8,0.16,0,0.02,0.02,0.21,0,2.4,1.8
228,치즈나쵸(패스트푸드),344.65,0,91.53,0.19,0.37,1.47,1.02,0,0
229,쿠키,147.6,0.11,0,0.01,0.01,0.06,0,1.83,0.9
230,"쿠키,땅콩버터",145.8,0.16,0,0.05,0.05,1.29,0,1.83,0.9
231,크래커,150.3,0.34,0,0.02,0.08,0.51,0,4.2,0.9
232,"크래커,땅콩샌드",149.1,0.32,0,0.13,0.1,1.77,0,4.2,0.9
233,"크래커,치즈샌드",142.2,0.19,0,0.14,0.2,1.14,0,4.2,0.9
234,"한과,다식,검정깨,",137.7,2.01,0,0.17,0.04,1.32,0,0.36,2.1
235,"한과,다식,송화",97.8,0.02,0,0,0.01,0.24,0,9.51,0.3
236,"한과,약과",135.6,0.11,0,0.03,0,0.12,0,1.83,0.9
237,"한과,참깨강정",150.3,2.13,0.3,0.11,0.04,1.32,0,0.39,2.4
238,"한과,찹쌀산자",125.1,0.35,0,0,0,0.09,0,2.04,0
239,국수장국,419.91,2.48,89.53,0.23,0.43,3.1,14.74,46.4,1.17
240,닭칼국수,233.28,1.56,64.87,0.13,0.15,4.67,7.05,21.2,0.37
241,도토리국수,428.63,1.12,91.91,0.87,0.14,4.61,11.49,86.96,1.03
242,라면,525.03,1.1,161.13,0.69,0.58,1.11,0.48,23.26,0.5
243,메밀국수,312.06,1.69,42.37,0.26,0.12,1.6,6.01,83.19,0.26
244,물냉면,435.84,1.61,51.38,0.09,0.15,3.11,8.49,72.58,0.36
245,비빔국수,522.21,2.75,221.31,0.28,0.52,3.8,7.79,67.8,4.18
246,비빔냉면,442.17,1.39,91.91,0.1,0.15,2.36,11.45,68.57,1.03
247,컵라면(큰것),327.66,0.47,59.34,0.47,0.33,0.77,0,15.14,0
248,수제비,372.07,1.19,28.31,0.29,0.14,2.91,12.95,50.83,1.34
249,스파게티(패스트푸드),260,3.43,259.5,0.25,0.18,2.3,13,45,0
250,스파게티와미트볼(패스트푸드),332.32,0,381.92,0.25,0.3,3.99,22.07,0,0
251,야채라면,495.02,0.9,243.93,0.68,0.51,1.24,5.5,30.47,0.25
252,열무김치국수,437.17,2.22,337.1,0.24,0.47,2.4,14.73,44.92,0.29
253,우동,461.6,0.87,46.56,0.16,0.17,1.19,1.24,17.26,0.87
254,"울면,인스턴트",431,0.18,36,0.19,0.05,3.9,0,1.9,0
255,유부국수,509.8,2.8,94.01,0.23,0.42,3.16,5.39,53.84,1.46
256,짜장면,607.5,1.07,14.5,0.34,0.13,2.77,24.45,48.06,5.55
257,"짜장면,인스턴트",458.4,0.31,1.2,0.16,0.04,1.2,0,12,0
258,짬뽕,571.67,1.6,293.27,0.24,0.25,3.1,18.33,67.68,8.17
259,쫄면,559.61,2.05,105.15,0.33,0.17,3.03,11.6,51.57,1.14
260,칡냉면(비빔면),456.42,1.44,125.51,0.1,0.16,2.62,10.89,74.15,1.06
261,칼국수,285,1.05,43.86,0.13,0.08,2.44,15.98,14.3,1.39
262,"칼국수,인스턴트",158.4,0.22,0,0.06,0.01,0.36,0,2.28,0
263,컵라면(작은것),274.32,0.4,49.68,0.4,0.27,0.65,0,12.67,0
264,콩국수,481.34,1.53,46.76,0.36,0.38,2.72,8.32,71.99,1.65
265,"하이면,인스턴트",139.23,0.5,2.34,0.05,0.04,2.93,0,15.68,0
